symptoms,severity,max_weight,num_symptoms
"minor bruise, dry skin",GREEN,1,2
"poisoning suspected, broken bone visible, choking, seizure single, severe bleeding uncontrolled, not breathing",RED,7,6
"vomiting, common cold, mild acne, wheezing, insomnia",YELLOW,4,5
"stuffy nose, sneezing, persistent fatigue, night sweats, persistent cough, paper cut",YELLOW,4,6
"common cold, sneezing, watery eyes",GREEN,1,3
"sore throat with fever, migraine, high fever",YELLOW,4,3
back pain,YELLOW,3,1
"mild sunburn, mild acne, diarrhea, sprained ankle, blurred vision",YELLOW,4,5
septic shock symptoms,RED,7,1
"skin rash with fever, minor fracture pain, mild constipation",YELLOW,4,3
"mild allergies, dandruff, minor mouth ulcer",GREEN,2,3
"insomnia, mild sunburn, mild acne",GREEN,2,3
mild nausea,GREEN,2,1
"dandruff, joint pain, mild constipation, dizziness, mild bloating",YELLOW,4,5
"high fever, stuffy nose, diarrhea, nausea and vomiting",YELLOW,4,4
"frequent urination, severe head trauma, persistent fatigue, loss of consciousness prolonged",RED,7,4
"dandruff, mild allergies, mild bloating, vomiting, blood in urine",YELLOW,4,5
"painful urination, sneezing, mild headache, blurred vision, urinary burning, mild stomach discomfort",YELLOW,4,6
"back pain, ankle swelling, seizure single, mild sunburn, severe headache",ORANGE,5,5
"mild sunburn, mild bloating",GREEN,2,2
"gunshot wound, severe trauma, not breathing",RED,7,3
blue lips,RED,7,1
"frequent urination, painful urination, skin rash with fever",YELLOW,4,3
"minor mouth ulcer, mild acne",GREEN,2,2
"swollen lymph nodes, severe abdominal pain",ORANGE,6,2
"dandruff, chapped lips, mild headache",GREEN,1,3
"hiccups, ankle swelling, occasional heartburn, sneezing",YELLOW,3,4
muscle soreness after exercise,GREEN,2,1
massive hemorrhage,RED,7,1
"migraine, blood in urine, seizure single, animal bite deep, coughing blood, high fever",ORANGE,6,6
"blood in urine, ear pain",YELLOW,4,2
loss of consciousness prolonged,RED,7,1
mild constipation,GREEN,2,1
"severe abdominal pain, sudden weakness, blood in stool",ORANGE,6,3
"urinary burning, animal bite deep",ORANGE,5,2
"persistent cough, minor fracture pain",YELLOW,4,2
mild bloating,GREEN,2,1
high fever,YELLOW,4,1
"runny nose, joint pain, sneezing",YELLOW,3,3
animal bite deep,ORANGE,5,1
"loss of consciousness brief, diarrhea",ORANGE,6,2
"minor rash, mild constipation",GREEN,2,2
"insomnia, difficulty speaking suddenly, numbness one side, runny nose, joint pain",ORANGE,6,5
"seizure continuous, multi organ failure signs",RED,7,2
mild headache,GREEN,1,1
"common cold, minor fracture pain, blood in stool, chronic indigestion",ORANGE,5,4
"minor mouth ulcer, chronic indigestion, minor rash, watery eyes",YELLOW,3,4
"chapped lips, watery eyes, muscle soreness after exercise",GREEN,2,3
"urinary burning, dizziness, high fever",YELLOW,4,3
"painful urination, mild constipation",YELLOW,3,2
"numbness in fingers, paper cut, back pain, common cold",YELLOW,3,4
"vomiting, minor mouth ulcer, joint pain",YELLOW,4,3
"insomnia, minor rash",GREEN,2,2
"mild nausea, dry skin",GREEN,2,2
mild cough,GREEN,1,1
"vomiting, persistent headache",YELLOW,4,2
"migraine, mild acne, dizziness, sore throat with fever",YELLOW,4,4
"runny nose, mild acne, mild cough",GREEN,1,3
"migraine, mild headache, mild acne, shortness of breath, severe pain, loss of consciousness brief",ORANGE,6,6
"mild sunburn, slight sore throat, mild bloating",GREEN,2,3
"muscle soreness after exercise, watery eyes",GREEN,2,2
sudden weakness,ORANGE,5,1
"severe infection signs, severe pain",ORANGE,5,2
"minor mouth ulcer, shortness of breath, seizure single, slight sore throat, persistent fatigue",ORANGE,6,5
"hiccups, chronic indigestion, persistent fatigue, minor mouth ulcer",YELLOW,3,4
"common cold, mild body ache, sneezing",GREEN,2,3
"common cold, watery eyes, mild constipation",GREEN,2,3
"swollen lymph nodes, sneezing, severe infection signs, animal bite deep",ORANGE,5,4
mild body ache,GREEN,2,1
"anaphylaxis, stroke symptoms, no pulse detected",RED,7,3
"minor rash, diarrhea, dry skin, dizziness",YELLOW,4,4
"spinal injury suspected, dehydration, chemical exposure, stab wound, stroke symptoms",RED,7,5
"high fever with chills, severe infection signs",ORANGE,5,2
"high fever, dizziness",YELLOW,4,2
"night sweats, anaphylaxis, choking, massive hemorrhage",RED,7,4
"chapped lips, mild acne, occasional heartburn",GREEN,2,3
seizure continuous,RED,7,1
"facial drooping, head injury",ORANGE,6,2
"drug overdose suspected, multi organ failure signs, mild fatigue, shortness of breath",RED,7,4
"mild nausea, back pain, chapped lips, sprained ankle, mild allergies",YELLOW,3,5
"mild allergies, skin rash with fever, mild anxiety, runny nose",YELLOW,4,4
"heart attack symptoms, eye pain, high fever, massive hemorrhage, severe pain",RED,7,5
"runny nose, sprained ankle, minor bruise",YELLOW,3,3
"paper cut, chest pain",RED,7,2
"insomnia, common cold",GREEN,2,2
chapped lips,GREEN,1,1
"loss of consciousness prolonged, stab wound",RED,7,2
"severe head trauma, severe nosebleed, stab wound, not breathing, sudden weakness",RED,7,5
"open wound deep, minor bruise, severe back pain radiating",ORANGE,5,3
"severe trauma, broken bone visible, paper cut",RED,7,3
"septic shock symptoms, spinal injury suspected",RED,7,2
"swollen lymph nodes, minor mouth ulcer",YELLOW,3,2
"runny nose, ear pain, nausea and vomiting, mild nausea",YELLOW,4,4
"sneezing, blurred vision, chapped lips, mild bloating, abdominal pain",YELLOW,4,5
"severe trauma, gunshot wound, unconscious",RED,7,3
sprained ankle,YELLOW,3,1
"occasional heartburn, sneezing, mild itching",GREEN,2,3
"stab wound, no pulse detected, electrocution, muscle cramps, common cold",RED,7,5
"mild headache, mild nausea, runny nose",GREEN,2,3
"mild nausea, mild anxiety, chapped lips",GREEN,2,3
"frequent urination, muscle soreness after exercise, skin rash with fever, nausea and vomiting, mild headache",YELLOW,4,5
"chapped lips, eye pain, chest pain, spinal injury suspected, sudden weakness",RED,7,5
"mild bloating, mild sunburn",GREEN,2,2
"shortness of breath, not breathing",RED,7,2
"nausea and vomiting, eye pain",YELLOW,4,2
seizure single,ORANGE,5,1
"insomnia, sneezing, common cold, ear pain",YELLOW,3,4
"persistent cough, mild anxiety, diarrhea, dehydration, sneezing, insomnia",YELLOW,4,6
"seizure continuous, severe back pain radiating, stab wound, abdominal pain",RED,7,4
"sneezing, runny nose, swollen lymph nodes",YELLOW,3,3
"joint pain, swollen lymph nodes, nausea and vomiting",YELLOW,4,3
"sneezing, mild body ache",GREEN,2,2
"ankle swelling, sprained ankle, blood in urine",YELLOW,4,3
"minor rash, minor mouth ulcer",GREEN,2,2
"broken bone visible, severe headache",ORANGE,6,2
"severe infection signs, vomiting blood, severe allergic reaction",ORANGE,6,3
"mild fatigue, mild constipation",GREEN,2,2
"skin rash with fever, weight loss unintentional, mild sunburn",YELLOW,4,3
"slight sore throat, dandruff, common cold",GREEN,1,3
"mild stomach discomfort, blurred vision, severe back pain radiating, septic shock symptoms, no pulse detected, seizure continuous",RED,7,6
skin infection,YELLOW,3,1
"dandruff, unconscious, electrocution, no pulse detected",RED,7,4
"muscle soreness after exercise, severe allergic reaction, diabetic emergency, minor rash",ORANGE,6,4
"mild itching, mild nausea, mild sunburn",GREEN,2,3
skin rash with fever,YELLOW,4,1
"minor rash, sneezing, mild allergies",GREEN,2,3
"poisoning suspected, painful urination, severe infection signs, shortness of breath, skin infection",ORANGE,6,5
"mild itching, mild nausea, shortness of breath, diabetic emergency, skin rash with fever",ORANGE,6,5
abdominal pain,YELLOW,4,1
"chronic indigestion, dandruff, minor rash, hiccups, ankle swelling",YELLOW,3,5
"slight sore throat, minor rash",GREEN,2,2
"poisoning suspected, diarrhea, eye injury",ORANGE,6,3
"dizziness, sudden weakness",ORANGE,5,2
"gunshot wound, choking",RED,7,2
chapped lips,GREEN,1,1
"insomnia, mild fatigue, joint pain",YELLOW,3,3
"chapped lips, weight loss unintentional, skin rash with fever, vomiting",YELLOW,4,4
"severe burn, difficulty breathing, swollen lymph nodes",ORANGE,6,3
"common cold, mild fatigue, dandruff",GREEN,2,3
"watery eyes, stuffy nose, dehydration, swollen lymph nodes, mild body ache",YELLOW,4,5
"severe headache, muscle cramps, swollen lymph nodes, severe back pain radiating, chronic indigestion, facial drooping",ORANGE,6,6
"loss of consciousness brief, urinary burning",ORANGE,6,2
"diarrhea, septic shock symptoms",RED,7,2
mild fatigue,GREEN,2,1
"persistent headache, persistent cough, weight loss unintentional, mild constipation",YELLOW,4,4
abdominal pain,YELLOW,4,1
mild stomach discomfort,GREEN,2,1
"ear pain, blurred vision, dehydration",YELLOW,4,3
"chapped lips, dry skin, paper cut",GREEN,1,3
vomiting blood,ORANGE,6,1
"stuffy nose, open wound deep, diabetic emergency",ORANGE,6,3
"minor rash, high fever with chills, severe burn, coughing blood",ORANGE,6,4
"massive hemorrhage, cardiac arrest, animal bite deep, blue lips",RED,7,4
"seizure single, minor bruise, severe chest tightness, drug overdose suspected",ORANGE,6,4
"mild allergies, ear pain, mild body ache, paper cut, numbness in fingers, persistent headache",YELLOW,3,6
"not breathing, minor fracture pain, watery eyes, septic shock symptoms, electrocution, diarrhea",RED,7,6
"dizziness, minor fracture pain, seizure continuous, stroke symptoms",RED,7,4
"numbness one side, diabetic emergency, blood in stool",ORANGE,6,3
"wheezing, mild bloating, abdominal pain, mild sunburn, minor mouth ulcer",YELLOW,4,5
"mild bloating, numbness in fingers, difficulty speaking suddenly, sprained ankle, severe pain",ORANGE,6,5
"blood in stool, drug overdose suspected, persistent fatigue, severe burn",ORANGE,6,4
"dry skin, mild stomach discomfort, swollen lymph nodes, mild headache",YELLOW,3,4
"septic shock symptoms, mild headache, loss of consciousness brief, mild bloating",RED,7,4
persistent headache,YELLOW,3,1
"skin rash with fever, urinary burning",YELLOW,4,2
"severe nosebleed, mild acne, facial drooping",ORANGE,6,3
"severe head trauma, electrocution",RED,7,2
"muscle soreness after exercise, anaphylaxis",RED,7,2
"hiccups, blood in urine",YELLOW,4,2
"stab wound, massive hemorrhage, heart attack symptoms",RED,7,3
"mild body ache, insomnia, hiccups",GREEN,2,3
"weight loss unintentional, loss of consciousness brief, eye injury",ORANGE,6,3
"tension pneumothorax, not breathing, multi organ failure signs",RED,7,3
minor bruise,GREEN,1,1
"severe dehydration, numbness one side, coughing blood, numbness in fingers",ORANGE,6,4
"jaundice, severe chest tightness",ORANGE,6,2
"wheezing, severe infection signs, facial drooping, jaundice",ORANGE,6,4
"ear pain, muscle soreness after exercise, mild fatigue",YELLOW,3,3
"dry skin, blood in stool, difficulty speaking suddenly, muscle cramps",ORANGE,6,4
"head injury, confusion, unconscious",RED,7,3
"wheezing, severe nosebleed, severe dehydration, minor fracture pain",ORANGE,5,4
"mild bloating, minor rash, mild constipation",GREEN,2,3
"fever, mild bloating, runny nose, dandruff, high fever",YELLOW,4,5
"blood in urine, severe asthma attack, skin infection",ORANGE,6,3
"stuffy nose, common cold, minor bruise",GREEN,1,3
"severe headache, severe pain, persistent fatigue",ORANGE,5,3
"spinal injury suspected, blurred vision, septic shock symptoms",RED,7,3
slight sore throat,GREEN,1,1
"severe back pain radiating, loss of consciousness brief",ORANGE,6,2
"chronic indigestion, seizure single, gunshot wound, severe bleeding uncontrolled, diabetic emergency",RED,7,5
"jaundice, dry skin, minor mouth ulcer, muscle cramps",YELLOW,4,4
"massive hemorrhage, electrocution, multi organ failure signs",RED,7,3
"no pulse detected, severe bleeding uncontrolled",RED,7,2
"occasional heartburn, difficulty speaking suddenly, severe headache, severe back pain radiating",ORANGE,6,4
"coughing blood, severe infection signs, difficulty breathing",ORANGE,6,3
stab wound,RED,7,1
"mild bloating, minor rash, fever, mild allergies",YELLOW,4,4
"mild anxiety, paper cut",GREEN,2,2
"drowning, head injury, swollen lymph nodes",RED,7,3
"skin rash with fever, eye pain, chronic indigestion",YELLOW,4,3
"stuffy nose, minor rash",GREEN,2,2
"mild body ache, mild anxiety",GREEN,2,2
"massive hemorrhage, electrocution",RED,7,2
"severe dehydration, frequent urination, severe infection signs, mild sunburn, joint pain",ORANGE,5,5
minor rash,GREEN,2,1
"blood in urine, weight loss unintentional, occasional heartburn, hiccups, stuffy nose",YELLOW,4,5
"chemical exposure, open wound deep",ORANGE,6,2
"sudden weakness, severe allergic reaction, insomnia, sprained ankle",ORANGE,6,4
"multi organ failure signs, stab wound",RED,7,2
"anaphylaxis, poisoning suspected, stab wound, unconscious",RED,7,4
"not breathing, abdominal pain, cardiac arrest, mild nausea",RED,7,4
"blurred vision, blood in urine",YELLOW,4,2
"muscle cramps, back pain, fever",YELLOW,4,3
mild nausea,GREEN,2,1
"jaundice, mild fatigue",YELLOW,4,2
"loss of consciousness brief, sudden weakness",ORANGE,6,2
"mild itching, occasional heartburn",GREEN,2,2
"mild cough, chest tightness, dizziness, severe head trauma, severe bleeding uncontrolled",RED,7,5
"painful urination, blurred vision, ear pain",YELLOW,4,3
"skin infection, urinary burning, blood in urine, minor bruise",YELLOW,4,4
"occasional heartburn, mild stomach discomfort, back pain, migraine",YELLOW,4,4
"weight loss unintentional, mild allergies, high fever, dehydration",YELLOW,4,4
"severe back pain radiating, chapped lips, difficulty breathing",ORANGE,6,3
"dry skin, ankle swelling, slight sore throat",YELLOW,3,3
"mild bloating, mild nausea, diarrhea, abdominal pain, mild itching",YELLOW,4,5
runny nose,GREEN,1,1
"anaphylaxis, mild cough, mild body ache, chest pain, back pain, massive hemorrhage",RED,7,6
"shortness of breath, confusion, broken bone visible",ORANGE,6,3
"night sweats, electrocution",RED,7,2
"severe back pain radiating, paper cut, coughing blood, chronic indigestion",ORANGE,6,4
"mild sunburn, mild body ache, paper cut, fever",YELLOW,4,4
"runny nose, sprained ankle, painful urination",YELLOW,3,3
"open wound deep, paper cut",ORANGE,5,2
"severe headache, severe asthma attack, insomnia, dehydration, persistent headache",ORANGE,6,5
"mild constipation, open wound deep, dry skin, back pain, broken bone visible",ORANGE,6,5
"nausea and vomiting, mild nausea, mild itching, mild headache, joint pain",YELLOW,4,5
"mild headache, mild body ache",GREEN,2,2
ankle swelling,YELLOW,3,1
"severe pain, open wound deep, broken bone visible, migraine, vomiting, fever",ORANGE,6,6
"sneezing, minor mouth ulcer, slight sore throat",GREEN,2,3
"swollen lymph nodes, head injury, chest pain, severe head trauma, septic shock symptoms, sudden weakness",RED,7,6
"numbness in fingers, back pain, blue lips, vomiting",RED,7,4
"spinal injury suspected, mild anxiety, drowning",RED,7,3
"sprained ankle, ear pain, eye injury, numbness in fingers",ORANGE,5,4
"blood in urine, dehydration, mild body ache, mild acne, insomnia, painful urination",YELLOW,4,6
"toothache severe, mild anxiety, skin rash with fever",YELLOW,4,3
"drowning, not breathing, chest pain",RED,7,3
"mild body ache, minor bruise, insomnia",GREEN,2,3
"minor mouth ulcer, vomiting blood, coughing blood, severe allergic reaction, toothache severe, mild acne",ORANGE,6,6
"fever, jaundice",YELLOW,4,2
"back pain, eye pain, mild headache, dry skin",YELLOW,3,4
"mild itching, abdominal pain, ankle swelling",YELLOW,4,3
"stroke symptoms, severe head trauma, muscle soreness after exercise, heart attack symptoms",RED,7,4
"nausea and vomiting, chest tightness, not breathing, dizziness",RED,7,4
"joint pain, severe burn, facial drooping",ORANGE,6,3
"muscle soreness after exercise, paper cut, occasional heartburn",GREEN,2,3
mild stomach discomfort,GREEN,2,1
"dehydration, sprained ankle",YELLOW,4,2
"ear pain, dry skin, frequent urination, nausea and vomiting",YELLOW,4,4
"swollen lymph nodes, mild fatigue, vomiting, mild cough",YELLOW,4,4
"heart attack symptoms, mild anxiety",RED,7,2
"seizure continuous, slight sore throat, dizziness",RED,7,3
"mild allergies, mild cough, mild sunburn",GREEN,2,3
"mild body ache, mild fatigue, ankle swelling, frequent urination",YELLOW,3,4
minor bruise,GREEN,1,1
anaphylaxis,RED,7,1
"back pain, migraine, facial drooping, broken bone visible",ORANGE,6,4
"mild allergies, broken bone visible, mild anxiety, drug overdose suspected",ORANGE,6,4
"seizure continuous, gunshot wound, chest pain",RED,7,3
sudden weakness,ORANGE,5,1
"seizure single, confusion",ORANGE,5,2
"massive hemorrhage, unconscious, broken bone visible, shortness of breath, septic shock symptoms",RED,7,5
"severe trauma, watery eyes, mild body ache, anaphylaxis, drowning",RED,7,5
mild body ache,GREEN,2,1
"drowning, swollen lymph nodes, multi organ failure signs, loss of consciousness prolonged",RED,7,4
"gunshot wound, choking, dry skin, paper cut",RED,7,4
"fever, heart attack symptoms, seizure continuous, migraine, electrocution, difficulty speaking suddenly",RED,7,6
"runny nose, blood in urine",YELLOW,4,2
severe asthma attack,ORANGE,6,1
spinal injury suspected,RED,7,1
skin infection,YELLOW,3,1
"severe head trauma, massive hemorrhage, swollen lymph nodes, severe allergic reaction, choking, runny nose",RED,7,6
"back pain, severe head trauma, vomiting",RED,7,3
"minor rash, minor mouth ulcer, runny nose",GREEN,2,3
slight sore throat,GREEN,1,1
"urinary burning, tension pneumothorax, electrocution, severe head trauma",RED,7,4
"anaphylaxis, cardiac arrest",RED,7,2
"mild nausea, back pain, hiccups, wheezing",YELLOW,4,4
"open wound deep, broken bone visible, vomiting blood, mild cough, insomnia",ORANGE,6,5
"mild constipation, mild body ache, stuffy nose",GREEN,2,3
"mild bloating, head injury, severe burn, slight sore throat, severe pain, back pain",ORANGE,6,6
"mild anxiety, heart attack symptoms, diabetic emergency, septic shock symptoms, severe head trauma, poisoning suspected",RED,7,6
"minor bruise, mild stomach discomfort",GREEN,2,2
"ear pain, paper cut, painful urination, minor mouth ulcer, numbness in fingers",YELLOW,3,5
"difficulty speaking suddenly, swollen lymph nodes, choking",RED,7,3
"fever, sore throat with fever, mild headache, minor mouth ulcer, minor bruise",YELLOW,4,5
"stuffy nose, heart attack symptoms",RED,7,2
dandruff,GREEN,1,1
"stuffy nose, common cold",GREEN,1,2
"wheezing, chapped lips, jaundice",YELLOW,4,3
"ear pain, insomnia",YELLOW,3,2
"eye injury, severe headache, severe infection signs",ORANGE,5,3
"chapped lips, dizziness, mild allergies",YELLOW,4,3
"head injury, severe headache",ORANGE,6,2
"ankle swelling, ear pain, difficulty speaking suddenly, heart attack symptoms",RED,7,4
"severe headache, unconscious, chronic indigestion, broken bone visible",RED,7,4
mild bloating,GREEN,2,1
"mild stomach discomfort, night sweats, migraine, watery eyes, muscle cramps, mild body ache",YELLOW,4,6
"severe infection signs, dandruff, abdominal pain, shortness of breath",ORANGE,6,4
"dry skin, mild fatigue",GREEN,2,2
"severe allergic reaction, severe bleeding uncontrolled",RED,7,2
"stuffy nose, mild anxiety",GREEN,2,2
"dry skin, hiccups",GREEN,1,2
"diabetic emergency, vomiting blood, sneezing",ORANGE,6,3
"blurred vision, seizure continuous, chest tightness, chemical exposure, stroke symptoms",RED,7,5
"loss of consciousness brief, sudden weakness",ORANGE,6,2
"slight sore throat, chest tightness, wheezing, chapped lips, night sweats",YELLOW,4,5
"slight sore throat, swollen lymph nodes, ankle swelling",YELLOW,3,3
"no pulse detected, choking, heart attack symptoms, diarrhea",RED,7,4
"skin rash with fever, mild headache, frequent urination, urinary burning",YELLOW,4,4
"choking, abdominal pain, sudden weakness, hiccups, cardiac arrest, no pulse detected",RED,7,6
"slight sore throat, chemical exposure, night sweats, blood in stool, ear pain, severe chest tightness",ORANGE,6,6
"toothache severe, wheezing, minor fracture pain, mild sunburn, mild nausea, insomnia",YELLOW,4,6
"mild stomach discomfort, minor rash",GREEN,2,2
"gunshot wound, insomnia, stroke symptoms, anaphylaxis, muscle soreness after exercise",RED,7,5
"unconscious, slight sore throat, anaphylaxis, stab wound, severe infection signs",RED,7,5
"weight loss unintentional, persistent cough, common cold, ankle swelling",YELLOW,4,4
"swollen lymph nodes, eye injury, animal bite deep, minor mouth ulcer",ORANGE,5,4
"mild body ache, muscle soreness after exercise, common cold",GREEN,2,3
"dandruff, mild acne, dehydration",YELLOW,4,3
"mild stomach discomfort, watery eyes, dandruff, difficulty breathing, blood in stool",ORANGE,6,5
"blue lips, vomiting blood, mild nausea, severe infection signs",RED,7,4
"numbness one side, mild stomach discomfort, severe abdominal pain, difficulty breathing",ORANGE,6,4
"diarrhea, severe head trauma, spinal injury suspected, mild fatigue",RED,7,4
"open wound deep, painful urination, head injury, shortness of breath",ORANGE,6,4
jaundice,YELLOW,4,1
"persistent fatigue, loss of consciousness prolonged, spinal injury suspected",RED,7,3
"nausea and vomiting, dizziness, night sweats",YELLOW,4,3
"mild stomach discomfort, insomnia, mild bloating",GREEN,2,3
"mild nausea, mild itching, insomnia",GREEN,2,3
"painful urination, hiccups, chest pain, cardiac arrest",RED,7,4
"difficulty speaking suddenly, severe chest tightness, persistent fatigue",ORANGE,6,3
"severe nosebleed, occasional heartburn",ORANGE,5,2
"difficulty speaking suddenly, severe dehydration, occasional heartburn",ORANGE,6,3
"cardiac arrest, heart attack symptoms",RED,7,2
"mild anxiety, runny nose, minor mouth ulcer",GREEN,2,3
"mild acne, mild body ache, severe infection signs, eye injury, difficulty breathing, watery eyes",ORANGE,6,6
"fever, mild acne, insomnia, common cold",YELLOW,4,4
"blurred vision, chest tightness, severe back pain radiating, mild itching",ORANGE,5,4
"paper cut, wheezing, mild headache, persistent headache",YELLOW,4,4
"runny nose, chest tightness, blurred vision, frequent urination",YELLOW,4,4
"insomnia, dizziness, shortness of breath",ORANGE,6,3
"confusion, tension pneumothorax",RED,7,2
"insomnia, mild itching, runny nose",GREEN,2,3
"mild headache, abdominal pain, stuffy nose, persistent headache",YELLOW,4,4
"occasional heartburn, joint pain",YELLOW,3,2
"ear pain, dry skin, minor mouth ulcer",YELLOW,3,3
"joint pain, toothache severe, jaundice",YELLOW,4,3
"mild acne, chronic indigestion, head injury, sudden weakness, minor rash, vomiting blood",ORANGE,6,6
"paper cut, chronic indigestion, mild bloating",YELLOW,3,3
"confusion, numbness in fingers, tension pneumothorax",RED,7,3
"mild headache, mild nausea, mild anxiety",GREEN,2,3
"insomnia, muscle cramps, diarrhea, toothache severe, mild body ache, minor rash",YELLOW,3,6
"minor rash, swollen lymph nodes, mild sunburn",YELLOW,3,3
"common cold, occasional heartburn",GREEN,2,2
"painful urination, mild acne, diabetic emergency, sudden weakness, difficulty breathing",ORANGE,6,5
"mild anxiety, swollen lymph nodes, slight sore throat",YELLOW,3,3
"wheezing, blurred vision",YELLOW,4,2
"mild acne, stuffy nose",GREEN,1,2
"tension pneumothorax, gunshot wound, seizure continuous",RED,7,3
"stroke symptoms, mild itching",RED,7,2
"paper cut, runny nose, sneezing",GREEN,1,3
"dandruff, paper cut, coughing blood",ORANGE,6,3
"wheezing, severe headache, severe back pain radiating, mild cough",ORANGE,5,4
"spinal injury suspected, stroke symptoms, cardiac arrest",RED,7,3
"slight sore throat, anaphylaxis, mild allergies, spinal injury suspected",RED,7,4
"chronic indigestion, fever, dandruff, mild fatigue, eye pain",YELLOW,4,5
"minor mouth ulcer, abdominal pain, minor bruise",YELLOW,4,3
mild stomach discomfort,GREEN,2,1
slight sore throat,GREEN,1,1
mild cough,GREEN,1,1
"dandruff, paper cut, joint pain",YELLOW,3,3
"slight sore throat, muscle cramps, mild body ache",YELLOW,3,3
"severe trauma, cardiac arrest",RED,7,2
blue lips,RED,7,1
"loss of consciousness prolonged, dehydration, drowning, difficulty speaking suddenly, choking",RED,7,5
"hiccups, severe back pain radiating",ORANGE,5,2
"heart attack symptoms, difficulty breathing, cardiac arrest",RED,7,3
"persistent fatigue, watery eyes, swollen lymph nodes, occasional heartburn",YELLOW,3,4
"anaphylaxis, drowning",RED,7,2
"frequent urination, abdominal pain, confusion",ORANGE,5,3
"sore throat with fever, weight loss unintentional, vomiting",YELLOW,4,3
"stuffy nose, common cold",GREEN,1,2
"vomiting blood, shortness of breath",ORANGE,6,2
"dizziness, diarrhea",YELLOW,4,2
minor mouth ulcer,GREEN,2,1
"difficulty speaking suddenly, slight sore throat, animal bite deep, shortness of breath",ORANGE,6,4
"loss of consciousness prolonged, severe bleeding uncontrolled, facial drooping, septic shock symptoms, dandruff, mild stomach discomfort",RED,7,6
mild bloating,GREEN,2,1
"diabetic emergency, numbness one side, jaundice",ORANGE,6,3
"blood in urine, severe dehydration, chest pain, jaundice, no pulse detected, unconscious",RED,7,6
"hiccups, vomiting, mild stomach discomfort, insomnia",YELLOW,4,4
confusion,ORANGE,5,1
"chapped lips, sneezing",GREEN,1,2
"mild sunburn, weight loss unintentional, minor rash, mild acne",YELLOW,4,4
"persistent cough, persistent headache",YELLOW,3,2
"eye pain, abdominal pain, diarrhea, dry skin, paper cut, occasional heartburn",YELLOW,4,6
"unconscious, electrocution",RED,7,2
"massive hemorrhage, ankle swelling, drug overdose suspected",RED,7,3
"hiccups, mild allergies, mild anxiety",GREEN,2,3
"loss of consciousness brief, heart attack symptoms, multi organ failure signs",RED,7,3
"high fever with chills, severe abdominal pain",ORANGE,6,2
stuffy nose,GREEN,1,1
"confusion, vomiting blood",ORANGE,6,2
"dry skin, stuffy nose, swollen lymph nodes",YELLOW,3,3
"skin rash with fever, unconscious, choking, spinal injury suspected",RED,7,4
"minor rash, mild acne, eye pain, muscle cramps",YELLOW,3,4
mild cough,GREEN,1,1
"minor fracture pain, severe pain, ankle swelling, chest tightness, eye injury",ORANGE,5,5
"loss of consciousness brief, numbness one side, minor rash, eye injury",ORANGE,6,4
"runny nose, dandruff",GREEN,1,2
"minor bruise, insomnia, mild itching",GREEN,2,3
weight loss unintentional,YELLOW,4,1
runny nose,GREEN,1,1
"dizziness, sneezing, dandruff",YELLOW,4,3
abdominal pain,YELLOW,4,1
"muscle cramps, wheezing, common cold, severe nosebleed, seizure single",ORANGE,5,5
"poisoning suspected, numbness one side",ORANGE,6,2
"mild body ache, mild headache",GREEN,2,2
"mild stomach discomfort, runny nose",GREEN,2,2
"occasional heartburn, minor bruise, mild nausea",GREEN,2,3
"paper cut, mild acne, mild allergies, muscle cramps",YELLOW,3,4
"severe pain, mild bloating, severe back pain radiating, high fever, difficulty breathing",ORANGE,6,5
"common cold, mild body ache, ankle swelling, mild fatigue",YELLOW,3,4
"hiccups, sneezing",GREEN,1,2
minor fracture pain,YELLOW,4,1
"mild fatigue, runny nose, paper cut",GREEN,2,3
"weight loss unintentional, mild fatigue, severe dehydration, severe infection signs",ORANGE,5,4
"multi organ failure signs, severe head trauma, minor mouth ulcer",RED,7,3
"chronic indigestion, tension pneumothorax, mild stomach discomfort, ear pain, loss of consciousness prolonged",RED,7,5
"sudden weakness, blood in stool",ORANGE,5,2
minor bruise,GREEN,1,1
"minor fracture pain, watery eyes, wheezing, sprained ankle",YELLOW,4,4
"night sweats, mild anxiety, runny nose, urinary burning",YELLOW,4,4
"severe abdominal pain, diabetic emergency",ORANGE,6,2
"persistent fatigue, runny nose, mild fatigue, poisoning suspected, severe back pain radiating, vomiting blood",ORANGE,6,6
"loss of consciousness brief, blurred vision, sore throat with fever, frequent urination",ORANGE,6,4
"mild cough, dandruff",GREEN,1,2
"numbness in fingers, dizziness, painful urination",YELLOW,4,3
"minor fracture pain, no pulse detected",RED,7,2
"common cold, mild nausea, mild fatigue",GREEN,2,3
"runny nose, paper cut, mild constipation",GREEN,2,3
sprained ankle,YELLOW,3,1
watery eyes,GREEN,1,1
coughing blood,ORANGE,6,1
"fever, chronic indigestion, sneezing, joint pain",YELLOW,4,4
drowning,RED,7,1
"chest pain, swollen lymph nodes, severe bleeding uncontrolled, electrocution, mild acne",RED,7,5
"paper cut, mild acne",GREEN,1,2
"vomiting blood, severe allergic reaction, high fever",ORANGE,6,3
"sudden weakness, open wound deep",ORANGE,5,2
runny nose,GREEN,1,1
stuffy nose,GREEN,1,1
"dizziness, stuffy nose, mild constipation, mild cough",YELLOW,4,4
"mild itching, dandruff",GREEN,1,2
hiccups,GREEN,1,1
mild anxiety,GREEN,2,1
